target,session_id,phase,phase_hours,norm_flux,bjd_tdb
Qatar-1,Qatar-1__2026-08-18,-0.010060073845124862,-0.34285315953274453,1.054358269806573,2461270.9147698516
Qatar-1,Qatar-1__2026-08-18,-0.008651625269976648,-0.29485241406476104,1.0421621003056434,2461270.9167698827
Qatar-1,Qatar-1__2026-08-18,-0.0072431763665008475,-0.24685165740718254,1.0534457447248138,2461270.918769914
Qatar-1,Qatar-1__2026-08-18,-0.005834727791352634,-0.198850911939199,1.0153509273876842,2461270.9207699453
Qatar-1,Qatar-1__2026-08-18,-0.004426279215749673,-0.15085016645571736,0.9731162743195312,2461270.9227699763
Qatar-1,Qatar-1__2026-08-18,-0.00301783064060146,-0.10284942098773382,1.0199469589578194,2461270.9247700074
Qatar-1,Qatar-1__2026-08-18,-0.0016093820654532465,-0.054848675519750256,1.0555470359700605,2461270.9267700384
Qatar-1,Qatar-1__2026-08-18,-0.0002009334898502857,-0.006847930036268643,0.9933268742453578,2461270.9287700695
Qatar-1,Qatar-1__2026-08-18,0.0012075150852979277,0.04115281543171492,0.9949182210533639,2461270.9307701006
Qatar-1,Qatar-1__2026-08-18,0.0026159636609008885,0.08915356091519654,1.0173063158834623,2461270.9327701316
Qatar-1,Qatar-1__2026-08-18,0.004728636523850582,0.1611546791249209,1.0287435831857357,2461270.935770178
Qatar-1,Qatar-1__2026-08-18,0.006137085099453543,0.2091554246084025,1.0453033430312257,2461270.9377702093
Qatar-1,Qatar-1__2026-08-18,0.0075455336746017565,0.2571561700763861,0.9952764710966049,2461270.9397702403
Qatar-1,Qatar-1__2026-08-18,0.008953982250204717,0.3051569155598677,1.0058665056826808,2461270.9417702714
Qatar-1,Qatar-1__2026-08-18,0.01036243082535293,0.3531576610278513,0.9902637497026793,2461270.9437703025
Qatar-1,Qatar-1__2026-08-18,0.011770879400501144,0.4011584064958348,1.0283362038101587,2461270.9457703335
Qatar-1,Qatar-1__2026-08-18,0.013179327648231265,0.4491591408052197,1.0045662236861037,2461270.947770364
Qatar-1,Qatar-1__2026-08-18,0.014587776223379478,0.4971598862732032,0.9921351398882979,2461270.949770395
Qatar-1,Qatar-1__2026-08-18,0.01599622479898244,0.5451606317566848,1.0013331439513329,2461270.9517704262
Qatar-1,Qatar-1__2026-08-18,0.017404673374130653,0.5931613772246683,1.0020465943161254,2461270.9537704573
Qatar-1,Qatar-1__2026-08-18,0.018813121949733613,0.64116212270815,0.9672965603692898,2461270.9557704884
Qatar-1,Qatar-1__2026-08-18,0.020221570524881827,0.6891628681761335,1.0156945492247882,2461270.9577705194
Qatar-1,Qatar-1__2026-08-18,0.02233424338783152,0.7611639863858579,1.0059791150353807,2461270.960770566
Qatar-1,Qatar-1__2026-08-18,0.02374269163556164,0.8091647206952428,0.9762973224974713,2461270.9627705966
Qatar-1,Qatar-1__2026-08-18,0.025151140210709855,0.8571654661632263,0.9864479773599653,2461270.9647706277
Qatar-1,Qatar-1__2026-08-18,0.026559588786312816,0.905166211646708,0.9647969079724363,2461270.9667706587
Qatar-1,Qatar-1__2026-08-18,0.02796803736146103,0.9531669571146915,0.9880609128854093,2461270.96877069
Qatar-1,Qatar-1__2026-08-18,0.02937648593706399,1.0011677025981731,0.9731422843791093,2461270.970770721
Qatar-1,Qatar-1__2026-08-18,0.030784934512212203,1.0491684480661565,1.0279342745699782,2461270.972770752
Qatar-1,Qatar-1__2026-08-18,0.03219338275948758,1.0971691823600433,1.0130068650504558,2461270.9747707825
Qatar-1,Qatar-1__2026-08-18,0.03360183133509054,1.145169927843525,1.0,2461270.9767708136
Qatar-1,Qatar-1__2026-08-18,0.03501027991023875,1.1931706733115086,0.9829212342610453,2461270.9787708446
Qatar-1,Qatar-1__2026-08-18,0.03641872848584171,1.2411714187949903,1.0397314426755233,2461270.9807708757
Qatar-1,Qatar-1__2026-08-18,0.037827176733117085,1.289172153088877,1.0290874285456009,2461270.9827709063
